,geneid_symbol,S1,S2,S3,S4,S5,S6,I44,I51,I55,I69,geneid3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000002578.19_ Ikzf4, Ikzf4,0.608426,0.544973,0.086281,0.366483,0.100373,0.200755,0.198243,0.231874,0.17468,0.396409, Ikzf4,14.26886945,-0.704736085,0.494802802,-1.424276665,0.1543664,0.261600763
ENSMUSG00000002580.8_ Mien1, Mien1,34.730974,43.433682,34.062602,37.545822,33.483514,34.039387,41.49802,46.555074,41.541198,51.489666, Mien1,229.4716941,-0.074971299,0.09675221,-0.774879443,0.4384109,0.573437783
ENSMUSG00000002602.17_ Axl, Axl,20.13757,40.190226,22.539677,23.243679,25.138435,28.01583,45.507871,72.448792,42.760149,74.598347, Axl,1613.620988,0.746520603,0.151534765,4.926398266,8.38E-07,1.07E-05
ENSMUSG00000002603.16_ Tgfb1, Tgfb1,12.874824,15.503198,13.512925,14.017158,13.233579,13.840436,25.396989,35.397611,21.655511,46.931813, Tgfb1,449.6471805,0.79937768,0.139637584,5.724659924,1.04E-08,2.40E-07
ENSMUSG00000002608.9_ Ccdc97, Ccdc97,24.813254,28.33107,27.587647,26.553657,23.674604,27.601643,23.051428,32.698658,27.486975,34.929302, Ccdc97,690.450333,-0.192618217,0.084810008,-2.271173201,0.023136495,0.057479524
ENSMUSG00000002617.15_ Zfp40, Zfp40,1.888522,1.415772,1.023932,1.101216,0.787525,1.226223,1.89194,2.162526,2.697508,2.486303, Zfp40,48.50880362,0.309763042,0.230909072,1.3414936,0.179760246,0.294030796
ENSMUSG00000002625.11_ Akap8l, Akap8l,27.927687,37.713183,47.44532,31.322604,32.852949,30.600706,27.728167,35.777848,34.239121,43.75694, Akap8l,749.3052228,-0.244215567,0.069966848,-3.490446878,0.000482213,0.002325908
ENSMUSG00000002635.12_ Pdcd2l, Pdcd2l,12.248287,11.911315,13.439392,13.103551,14.339997,13.760115,11.99128,15.01487,11.166875,13.894817, Pdcd2l,147.9816985,-0.372898204,0.129029938,-2.890013053,0.003852258,0.01325193
ENSMUSG00000002658.10_ Gtf2f1, Gtf2f1,10.743941,13.116833,12.527617,11.248195,11.387736,10.812814,16.645898,14.801948,14.276929,19.281439, Gtf2f1,229.2556936,0.096147907,0.11625554,0.827039358,0.408214754,0.543153905
ENSMUSG00000002660.9_ Clpp, Clpp,47.985669,49.776436,53.158731,60.708628,48.211034,48.57806,46.844575,58.726194,52.138754,55.873077, Clpp,450.4389179,-0.336239309,0.105544958,-3.185744892,0.001443818,0.005904074
ENSMUSG00000002661.15_ Alkbh7, Alkbh7,37.991002,35.699922,38.855674,48.003719,38.560138,39.871644,43.455107,43.466985,39.643536,35.640878, Alkbh7,311.1993633,-0.354497122,0.143812684,-2.46499204,0.01370163,0.037438175
ENSMUSG00000002668.9_ Dennd1c, Dennd1c,2.240454,1.392785,1.214686,1.184261,1.158065,0.611506,4.124731,4.120272,1.303941,8.210985, Dennd1c,44.35322973,1.144352351,0.335711716,3.408735221,0.000652648,0.003020196
ENSMUSG00000002679.15_ Med6, Med6,6.282021,8.178393,7.664801,8.006913,6.6043,6.66971,11.031558,11.36982,9.917816,9.638309, Med6,68.2681437,0.108660012,0.167618117,0.648259349,0.516817222,0.645898358
ENSMUSG00000002688.9_ Prkd1, Prkd1,2.279766,2.747455,2.833439,2.917836,2.651641,3.123918,2.524575,3.033558,2.906315,2.413804, Prkd1,111.049722,-0.394853769,0.152043206,-2.596983977,0.009404631,0.02758271
ENSMUSG00000002699.14_ Lcp2, Lcp2,0.507957,1.229039,0.647938,0.795546,1.738186,0.825546,4.083322,4.402715,1.697946,4.199504, Lcp2,59.70799039,1.569721321,0.236330929,6.642047767,3.09E-11,1.45E-09
ENSMUSG00000002718.15_ Cse1l, Cse1l,17.881605,17.21404,15.846937,15.943509,18.789592,16.005938,17.588195,18.081674,18.393776,18.347365, Cse1l,667.4319585,-0.321965893,0.115221614,-2.79431854,0.005200922,0.016999274
ENSMUSG00000002728.15_ Naa20, Naa20,44.4007,43.729617,41.997753,42.600413,48.645204,41.329615,50.119651,49.649817,50.126965,44.12656, Naa20,439.8184469,-0.227185468,0.12389147,-1.833745848,0.06669173,0.134529207
ENSMUSG00000002731.7_ Prkra, Prkra,8.162034,9.190956,9.080199,7.892232,9.547595,10.842497,9.892108,12.045363,10.547195,15.069656, Prkra,157.1035753,-0.001355768,0.123734586,-0.010957066,0.991257701,0.994626482
ENSMUSG00000002732.15_ Fkbp7, Fkbp7,14.815685,24.500513,14.963987,12.743841,17.360829,11.860636,28.791238,30.361722,20.896976,33.844034, Fkbp7,140.4195468,0.437610362,0.184284953,2.374639681,0.017566088,0.045938843
ENSMUSG00000002733.9_ Plekha3, Plekha3,8.036313,12.210346,8.039802,8.894608,8.723862,9.317555,11.07786,12.759494,12.085794,14.017268, Plekha3,276.0425692,0.067588725,0.106029099,0.63745449,0.523828845,0.651617435
ENSMUSG00000002741.10_ Ykt6, Ykt6,30.595373,31.259659,28.870874,30.681523,25.639295,27.369807,39.689448,47.852259,34.09062,47.431426, Ykt6,874.6399114,0.147995456,0.084308235,1.755409252,0.079189331,0.154650994
ENSMUSG00000002748.8_ Baz1b, Baz1b,15.191735,21.085918,17.355657,18.754192,18.077899,18.368972,16.56935,23.141119,22.186591,26.243237, Baz1b,1368.162995,-0.131071201,0.074683792,-1.755015353,0.079256682,0.154717382
ENSMUSG00000002763.17_ Pex6, Pex6,21.207493,21.594141,19.736629,24.938275,20.899999,19.063866,19.854063,21.514279,21.620938,23.535493, Pex6,749.2205218,-0.367963843,0.098751517,-3.726158893,0.00019442,0.001100537
